id,aeq0_deg,latitude0_deg,ppar0,pper0,alpha0_deg,eta0,Ekin(keV)
0,64.25065344216748,2.888846531762187,3.370550922464892e-22,7.208389697917603e-22,64.93981012231261,2.2471161857619606,1063.2215609417628
1,64.25065344216748,2.888846531762187,1.3552534009501755e-22,2.898396991531819e-22,64.93981012231261,2.2471161857619606,276.1201196537704
2,64.25065344216748,2.888846531762187,3.0582968306295437e-22,6.540591100449006e-22,64.93981012231261,4.316706158802816,933.4433670504968
3,64.25065344216748,2.888846531762187,2.3535635267913505e-22,5.033421381306578e-22,64.93981012231261,4.316706158802816,647.4988360922904
4,64.25065344216748,-3.665373339613714,2.950497100733582e-22,6.435555063524289e-22,65.37005151996937,2.553929822975212,908.8648667628482
5,64.25065344216748,-3.665373339613714,2.287915309260997e-22,4.990347202770855e-22,65.37005151996937,2.553929822975212,636.3158941560877
6,64.25065344216748,-3.665373339613714,3.542022087268685e-22,7.725775488194639e-22,65.37005151996937,3.4039588747420533,1159.391636094636
7,64.25065344216748,-3.665373339613714,2.8725822465738804e-22,6.265609011353434e-22,65.37005151996937,3.4039588747420533,876.2834711587141
8,72.4043915482256,2.0999950437252557,2.1088513349866228e-22,6.880306168088569e-22,72.95941244960565,5.2814896404364715,929.2359781082885
9,72.4043915482256,2.0999950437252557,6.77482168100766e-23,2.210342978009536e-22,72.95941244960565,5.2814896404364715,158.51343231829406
10,72.4043915482256,2.0999950437252557,2.5215024759363396e-22,8.226615480291998e-22,72.95941244960565,0.631417711463158,1178.1681173896025
11,72.4043915482256,2.0999950437252557,2.5832303120166113e-22,8.428007775841626e-22,72.95941244960565,0.631417711463158,1215.7768587911767
12,72.4043915482256,6.291545605505417,5.938993460675944e-23,2.87145818310386e-22,78.31437071645173,3.5999294491213774,238.77166494455875
13,72.4043915482256,6.291545605505417,1.0764600350300014e-22,5.204602424363275e-22,78.31437071645173,3.5999294491213774,607.0824639682436
14,72.4043915482256,6.291545605505417,1.2801329787754838e-22,6.189345621787599e-22,78.31437071645173,5.495176158240241,777.3166407434721
15,72.4043915482256,6.291545605505417,1.2558285473017457e-22,6.071835543517519e-22,78.31437071645173,5.495176158240241,756.7361854627029
